time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-02 09:30:00-05:00,BaselineStrategy,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:30:00-05:00,BaselineStrategy,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,155.0,0.0
2020-02-27 08:30:00-05:00,BaselineStrategy,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-27 08:30:00-05:00,BaselineStrategy,SPY,sell,stop,fill,1,day,0.0,1,stock,305.4599914550781,155.0,0.0
